question,option,answer_key,confidence,attendu
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Lors du cathétérisme, le Sx s'utilise avec des mouvements de watch winding.
B. Les limes K 30 s'utilisent avec des mouvements de limage, c'est à dire des mouvements de va et vient verticaux.
C. Lors du cathétérisme, la lime 10 s'utilise avec le mouvement des forces équilibrées.
D. Les limes K 30 s'utilisent avec le mouvement des forces équilibrées.
E. Autre réponse - CE",,,D
"CONCERNANT L'UTILISATION DES FORETS DE GATES LORS DE LA MISE EN FORME CANALAIRE, QUELLE(S) EST (SONT) LA (LES) PROPOSITION(S) EXACTE(S).","A. Les forets de Gates s'utilisent sur un contre-angle à vitesse réduite (environ 800 tours par minute).
B. Les forets de Gates doivent-être utilisés sur une portion rectiligne du canal.
C. Les forets de Gates sont utilisés avec des diamètres décroissants à des profondeurs croissantes.
D. Les forets de Gates permettent de faire la mise en forme canalaire complète.
E. Autre réponse - CE",,,"A,B,C"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Lors du cathétérisme, les instruments s'utilisent avec des mouvements de quarts de tour alternés associés à un mouvement vertical.
B. Le cathétérisme est réalisé avec des instruments en nickel-titane de petits diamètres.
C. Si la lime rencontre des difficultés à progresser lors du catéthérisme, il faut exercer une pression plus importante sur l'instrument pour faciliter sa progression.
D. Les limes utilisées lors du cathétérismes doivent être pré-courbées.
E. Autre réponse - CE",,,"A,D"
PEUVENT ETRE UTILISEES COMME DES LIMES DE CATHETERISME LES :,"A. Limes de 0,08 mm de diamètre et de longueur de 31 mm
B. Lime de 0,1 mm de diamètre et de longueur de 21 mm
C. Lime de 0,15 mm de diamètre et de longueur de 25 mm
D. Lime de 0,2 mm de diamètre et de longueur de 31 mm",,,"A,B"
POUR REALISER LE RINÇAGE FINAL UN TRAITEMENT ENDODONTIQUE VOUS POUVEZ PRENDRE?,"A. Une solution à 17% d’hypochlorite de sodium et une solution à 2,5%d’EDTA
B. Une solution à 2,5% d’hypochlorite de sodium et une solution à 17%d’EDTA
C. Une solution à 17% d’hypochlorite de sodium et une solution à 2% de Chlorhexidine
D. Uune solution à 2,5% d’hypochlorite de sodium et une solution à 2% de Chlorhexidine",,,B
"POUR L'ETAPE DE MISE EN PLACE DU CHAMP OPERATOIRE POUR UN TRAITEMENT ENDODONTIQUE SUR LA DENT 46, VOUS AVEZ BESOIN :","A. D'un crampon à double ressort
B. De fil dentaire
C. D'une feuille de digue perforée de la dent 47 à la dent 43
D. D'une pince à perforer de Ainsworth",,,"B,D"
"CONCERNANT  LE GUIDE DE PERFORATION POUR LA FEUILLE DE DIGUE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)??","A. Est inutile en endodontie, car il suffit de centrer la perforation sur la feuille de digue
B. Permet de perforer la feuille de digue en son centre
C. Permet de positionner la perforation en fonction de la dent à traiter
D. Définit l’axe médian qui permet de bien positionner l’ergot mentonnier du cadre à digue et ainsi centrer la feuille de digue",,,"C,D"
"CONCERNANT LA RECONSTITUTION CORONAIRE PRE-ENDODONTIQUE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Doit être réalisée après dépose des obturations pré-existantes
B. Ne peut pas être sous-gingivale
C. Doit permettre la mise en place du champ opératoire
D. Doit reconstituer un réservoir d’irrigant",,,"A,C,D"
"LORSQUE VOUS TRAITEZ ENDODONTIQUEMENT UNE MOLAIRE, JUSTE APRES LA MISE EN FORME DE LA CAVITE D’ACCES VOUS REALISEZ DANS L’ORDRE ?","A. Le repérage des entrées canalaires / l’évasement coronaire des entrées canalaires avec les forets de Gates / détermination de la LT/ mise en forme canalaire jusqu’a la LAM
B. L’évasement coronaire des entrées canalaires avec les forets de Gates/ Le repérage des entrées canalaires/ / détermination de la LT/ mise en forme canalaire jusqu’a la LAM
C. L’évasement coronaire des entrées canalaires avec les forets de Gates/ Le repérage des entrées canalaires/ / détermination de la LAM/ mise en forme canalaire jusqu’a la LT
D. Le repérage des entrées canalaires/ l’évasement coronaire des entrées canalaires avec les forets de Gates/ détermination de la LAM/ mise en forme canalaire jusqu’a la LT",,,A
AVANT L’OBTURATION D’UN CANAL VOUS DEVEZ DANS L’ORDRE :,"A. Rincer le canal avec de l’Hypochlorite de sodium/ régler et essayer le maitre cône/ passer la lime de perméabilité/ /activer les solutions d’EDTA et d’hypochlorite de sodium / sécher le canal
B. Rincer le canal avec de l’Hypochlorite de sodium / sécher le canal / régler et essayer le maitre cône/ passer la lime de perméabilité/ activer les solutions d’EDTA et d’hypochlorite de sodium / sécher le canal
C. Rincer le canal avec de l’Hypochlorite de sodium / régler et essayer le maitre cône/ activer les solutions d’EDTA et d’hypochlorite de sodium / passer la lime de perméabilité/ sécher le canal
D. Régler et essayer le maitre cône/ activer les solutions d’EDTA et d’hypochlorite de sodium / passer la lime de perméabilité/ rincer le canal avec de l’Hypochlorite de sodium / sécher le canal",,,A
"LORS DU TRAITEMENT ENDODONTIQUE D'UNE PREMIERE MOLAIRE MANDIBULAIRE, IL FAUT CONSIDERER QUE :","A. L’axe coronoradiculaire de ces dents dans le boitier osseux augmente le risque de perforation linguale lors de la réalisation de la cavité d’accès
B. Ces dents présentent fréquemment 4 racines
C. La racine mésiale peut présenter un seul canal
D. La racine distale peut présenter un seul canal",,,"A,D"
"LORS DU TRAITEMENT ENDODONTIQUE D'UNE PREMIERE PREMOLAIRE MAXILLAIRE, IL FAUT CONSIDERER QUE :","A. Ces dents présentent le plus souvent une seule racine et deux canaux
B. La cavité d’accès devra être ovalaire à grand axe vestibulo-palatin
C. Le fait qu’il s'agisse d'une dent maxillaire permet de se passer de reconstitution pré-endodontique parce que le risque de contamination salaivaire est moindre
D. La zone cervicale de ces dents est une zone à risque de perforation au cours de la cavité d’accès",,,B
LORS DE L'UTILISATION DES SYSTEMES DE PREPARATION ENDODONTIQUE EN NICKEL TITANE EN ROTATION CONTINUE IL FAUT :,"A. Régler une vitesse de rotation comprise entre 3000 et 5000 tours par minute
B. Exercer une pression élevée sur l'instrument en direction apicalepour faire progresse les instruments dans les canaux
C. Travailler de manière statique à une profondeur déterminée lorsqu’on rencontre une butée
D. Travailler l'instrument toujours en rotation",,,D
LORS D’UN TRAITEMENT ENDODONTIQUE LA SERINGUE D’IRRIGATION :,"A. Est utilisée avec une aiguille dont la sortie est centrale
B. Peut-être réutilisée pour plusieurs patients diffèrents
C. L'aiguille peut être descendue jusqu'à la LT avec un mouvement de va et vient
D. Ne peut être utilisèe que pour un seul type de solution.",,,D
"CONCERNANT LA RECONSTITUTION PRE-ENDODONTIQUE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Permet d’assurer la stabilité du matériau de restauration provisoire en inter séance
B. Permet de conserver des repères fiables pour la mesure des longueurs de travail
C. Peut être réalisée avec un matériau de type Cavit ou de l’IRM
D. Est optionnelle au maxillaire car les risques de contamination salivaire sont moindres",,,"A,B"
"CONCERNANT L’IRRIGATION EN ENDODONTIE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L’hypochlorite de sodium à 17% est preconisé de l’ouverture de la cavité d’accès à la fin de la mise en forme canalaire
B. L’EDTA à 2,5% élimine les debris dentinaires
C. Les solutions d’irrigation sont injectées dans le canal par un mouvement corono-apical de faible amplitude par l’opérateur
D. Le blocage de l’aiguille dans le canal permet une bonne irrigation du 1/3 apical
E. Une aiguille d'irrigation avec une sortie latérale favorise la circulation canalaire de la solution",,,"C,E"
"CONCERNANT L’IRRIGATION A L’HYPOCHLORITE DE SODIUM, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est réalisée entre chaque instrument
B. Dissout les débris minéraux
C. Permet d’évacuer un maximum de débris lorsque la seringue est en butée sur les parois
D. Est systématique",,,"A,D"
"CONCERNANT L’IRRIGATION A L’HYPOCHLORITE DE SODIUM, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est réalisée en exerçant une pression importante sur le piston de la seringue
B. Permet l’évacuation des débris minéraux et organiques
C. Est réalisée en déposant la solution d'irigation uniquement dans la chambre pulpaire
D. Joue un rôle de lubrification des instruments",,,"B,D"
"EN ENDONDONTIE,CONCERNANT LA SOLUTION D’EDTA, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est utilisée pour éliminer la boue dentinaire lors de la séquence d’irrigation finale
B. Pourrait être utilisée à la place de l’hypochlorite de sodium comme solution d’irrigation principale
C. Doit être appliquée dans le canal pendant au moins une minute pour être efficace
D. Doit être renouvelée dans le canal en abondance",,,"A,C"
"NBB QRM C104: LORSQUE QUE VOUS DEVEZ TRAITER UNE PULPITE IRREVERSIBLE, LA LIMITE APICALE DE PREPARATION :","A. Est généralement située à proximité de la jonction cémento-dentinaire
B. Est généralement située à 0,5mm en deçà de l’apex radiographique
C. Correspond généralement à la constriction apicale
D. Est généralement située à l’apex radiographique",,,"A,B,C"
"AU COURS DU TRAITEMENT ENDODONTIQUE D'UNE INCISIVE MAXILLAIRE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L’estimation de la longueur de travail doit être faite sur une radiographie préopératoire prise obligatoirement avec un angulateur
B. Le repère coronaire utilisé pour la mesure de la longueur de travail définitive est préférentiellement le cingulum
C. La longueur de travail peut être déterminée à l’aide d’un localisateur d’apex immédiatement après la réalisation de la cavité d’accès et la localisation de l’entrée canalaire
D. La longueur de travail doit être déterminée avant mise en forme du tiers apical",,,"A,D"
"AU COURS DU TRAITEMENT ENDODONTIQUE D'UNE INCISIVE MAXILLAIRE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Si le sens tactile permet de sentir le passage apical des instruments, il ne sera pas nécessaire de confirmer la longueur de travail par d’autres tests
B. L'estimation de la longueur de travail se fait à l'aide de la radiographie préopératoire réalisée avec ou sans angulateur de Rinn
C. La détermination radiographique de la longueur de travail est aussi fiable que sa détermination à l’aide d’un localisateur d’apex
D. La détermination de la longueur de travail se fait après mise en forme des deux tiers supérieurs du canal et après exploration manuelle du tiers apical",,,D
"LORS DE LA PROCEDURE DE MISE EN FORME CANALAIRE EN ENDODONTIE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L’élargissement canalaire doit obligatoirement être précédé d’une exploration canalaire passive à l’aide d’une lime K de petit diamètre (LK08 ou LK10)
B. Le canal doit être exploré manuellement le plus loin possible et si possible jusqu’à la longueur de travail estimée.
C. La perméabilité canalaire au-delà de la pointe du dernier instrument utilisé doit être vérifiée systématiquement au cours de la mise en forme
D. La mise en forme doit respecter la trajectoire canalaire mais elle peut nécessiter de majorer le diamètre à la LT",,,"A,B,C,D"
"LORS DE LA PRE-MISE EN FORME DU CANAL DANS UNE TECHNIQUE DE PREPARATION MECANISEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Il n’est pas nécessaire de passer une lime de cathétérisme manuelle
B. La /Les lime(s) mécanisée(s) de pré-mise en forme est/sont passée(s) juste après le repérage des entrées canalaire
C. La relocalisation des entrées canalaire n’est pas nécessaire avec les limes de pré-mise en forme
D. Une lime manuelle de petit diamètre est toujours passée avant les limes de pre-mise en forme.",,,D
"AU SUJET DE LA LONGUEUR DE TRAVAIL ESTIMEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Se mesure en enlevant 2mm par rapport  par rapport au  cliché radiographique pré-opératoire
B. Se mesure grace à un localisateur d'apex
C. Est la longueur de travail définitive
D. Est  estimée sur le cliché radiographique pré-opératoire",,,D
"CONCERNANT LA LONGUEUR DE TRAVAIL, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est la distance entre un point de référence coronaire et le point auquel la mise en forme doit s’arrêter
B. Reste inchangée tout au long du traitement
C. Est prise avec un instrument de gros diamètre
D. Est mesurée avec une lime H",,,A
"CONCERNANT LA LONGUEUR DE TRAVAIL, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est raccourcie en cas de LIPOE
B. Correspond à la longueur entre le point de repère coronaire et la constriction apicale
C. Est validée avec la lime apicale maîtresse
D. Est identique pour toutes les racines sur les dents pluriradiculées",,,B
"SI LA PREMIERE LIME QUI BLOQUE A LA LONGUEUR DE TRAVAIL EST UNE LIME 15/100, QUEL SERA LE DIAMETRE MINIMUM DE LA LAM :","A. 15/100
B. 20/100
C. 25/100
D. 30/100",,,D
L’UTILISATION DE L’ALLIAGE NICKEL-TITANE EN ENDODONTIE PERMET?,"A. D’avoir une flexibilité équivalente à l’acier en diminuant la conicité
B. D’avoir des conicités multiples sur le même instrument
C. De diminuer le nombre d’instrument pour une préparation canalaire
D. De ne plus utiliser les limes acier",,,"B,C"
CONCERNANT LA TECHNIQUE DE PREPARATION CANALAIRE SELON LE « CROWN DOWN » QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Consiste à augmenter la conicité apicale par le passage de limes de diamètre croissant à une distance de plus en plus éloignée de la LT
B. Consiste à mettre en forme les 2/3 coronaires du canal puis le tiers apical
C. Est une technique de mise en forme plus sûre que celle du step-back.
D. Ne nécessite pas de cathétérisme le canal avant la mise en forme",,,B
"CONCERNANT LA MISE EN FORME CANALAIRE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Doit permettre le nettoyage du système canalaire et du périapex
B. Doit assurer une conicité corono-apicale régulière
C. Est réalisée préférentiellement au dépend de la paroi externe à la courbure
D. Est réalisée préférentiellement au dépend de la paroi interne à la courbure",,,"B,C"
AVEC LES TECHNIQUES ADHESIVES :,"A. il est possible de préserver au maximum les tissus sains
B. la qualité du collage est faiblement impactée par la contamination aqueuse (salive/sang)
C. la forme de la cavité est essentielle pour assurer la rétention du matériau
D. les cavités sont préparées suivant l'évolution du processus carieux",,,"A,D"
LA FINITION POUR UNE CAVITE DE SITE 1 IMPOSE DE RESPECTER :,"A. l'extension préventive
B. la réalisation d'un fond plat
C. l'élimination de l'émail non soutenu
D. aucune de ces réponses n'est correcte",,,C
"EN PROXIMAL, LA LIMITE VESTIBULAIRE THEORIQUE DE LA CAVITE DE SITE 2 DEPEND DE :","A. l'angle axial
B. de la limite cervicale
C. la langue
D. l'embrasure",,,A
LORS DE LA MISE EN FORME CAVITAIRE POUR UNE TECHNIQUE ADHESIVE EN METHODE DIRECTE :,"A. il faut avoir à l’esprit la notion de complexe pulpo-dentinaire
B. il faut réaliser des extensions prophylactiques
C. il faut que les parois vestibulaires et linguales soient de contre dépouille pour assurer la rétention
D. il faut que la ligne de contour présente des angles arrondis",,,"A,D"
" A PROPOS DE LA PHASE RESTAURATRICE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Elle est nécessaire quelque soit le stade de la carie
B. Elle peut se faire à l'aide d'une résine composite
C. Elle peut se faire à l'aide d'un ciment verre ionomère
D. Elle se base sur le concept de préservation tissulaire",,,"B,C,D"
"DANS LES TECHNIQUES ADHESIVES, ON CONSIDERE :","A. les restaurations en méthode directe au composite
B. les restaurations type inlay-onlay au composite et en céramique
C. les restaurations en technique sandwich type Ciment Verre Ionomère/composite
D. les sealants",,,"A,B,C,D"
"LORS D'UNE RESTAURATION POSTERIEURE EN TECHNIQUE DIRECTE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le composite doit être appliqué par couche successive de 2mm maximum, sauf s’il s’agit d’un composite bulk.
B. Chaque couche de composite s’appuie sur 2 à 3 parois maximum, pour diminuer les effets de la contraction de polymérisation.
C. La méthode du composite-up permet de recréer une anatomie occlusale convenable.
D. Le relief occlusal est créé à la fraise lors du polissage.",,,"A,B,C"
"AU SUJET DE L'ECONOMIE TISSULAIRE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est permise par l’adhésion
B. Est à rechercher pour toute restauration directe et indirecte
C. Peut être respectée lors de la mise de dépouille pour les restaurations indirectes (de type inlays-onlays) grâce au comblement des contre-dépouilles par un substitut dentinaire
D. Précipite la dent dans le cycle restaurateur",,,"A,B,C"
"A PROPOS DES SYSTEMES ADHESIFS, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. pour les M&R le mordançage s'applique généralement pendant 30 sec sur l'émail et 15 sec sur la dentine
B. le primaire permet de faire le lien entre la dentine hydrophobe exposée après mordançage et l'adhésif hydrophile
C. les M&R existent sous la forme de systèmes en 1 ou 2 étapes
D. les SAM impliquent l'utilisation d'un mordançage préalable",,,A
"CONCERNANT LA CLASSIFICATION DES SYSTEMES ADHESIFS EN M+R ET SAM, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Repose sur la façon dont est traitée la boue dentinaire
B. R signifie rinçage
C. Distingue deux familles de systèmes adhésifs dont le protocole est différent
D. Distingue deux familles de systèmes adhésifs pour lesquels l’acide est le même",,,"A,B,C"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Les SAM1 sont considérés comme le gold standard
B. Les SAMs sont recommandés quand il y a une grande proportion de dentine dans la cavité
C. Les SAMs peuvent réduire les sensibilités opératoires car leur primer/primaire auto-mordançant infiltre la boue dentinaire
D. Les M&R permettent d’obtenir de bonnes valeurs d’adhésion sur l’émail",,,"B,C,D"
"CONCERNANT LES INTERACTIONS DENT/MATERIAU, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le mordançage à l’acide orthophosphorique sur l’émail va entraîner un ancrage chimique du système adhésif
B. La couche hybride permet un ancrage micromécanique, base de l’adhésion
C. Avec les systèmes contenant de l’acide orthophosphorique, on peut espérer une liaison chimique du système adhésif sur la dent
D. La liaison ciment verre ionomère / dentine est le fait d’une réaction de chélation.",,,"B,D"
INDIQUER LES REPONSES CORRECTES :,"A. Le CVI adhère naturellement à la dent
B. Le composite adhère naturellement à la dent
C. Les liaisons entre le CVI et le tissu dentaire sont covalentes
D. Le composite nécessite un système adhésif pour adhérer à la dent",,,"A,D"
"AU SUJET DES RESINES COMPOSITES , QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. doivent être polies uniquement si des corrections de forme sont nécessaires
B. doivent être photopolymérisées entre chaque apport
C. sont des matériaux organo-minéraux
D. doivent être apportés en petits incréments successifs du fait des phénomènes de contraction de polymérisation",,,"B,C,D"
"CONCERNANT LES PRINCIPES GENERAUX DE LA DENTISTERIE A MINIMA (RESTAURATIONS DEFINITIVES) , QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Un diagnostic précoce (radiographies rétro-coronaires)
B. Une instrumentation adaptée (fraises de petit diamètre, sonoabrasion)
C. Des cavités de petit volume
D. Le respect des structures saines et conservation des poutres de résistance de la dent",,,"A,B,C,D"
INDIQUER LES REPONSES CORRECTES :,"A. Lors du traitement d’une carie étendue (SiSta stade 4, ICDAS 6), je peux indiquer un inlay-onlay pour la restauration, dans le secteur postérieur.
B. Lors du traitement d’une lésion carieuse étendue active (SiSta stade 4, ICDAS 6), je peux indiquer un inlay-onlay pour la restauration, dans le secteur antérieur.
C. Lors du traitement d’une lésion carieuse peu étendue (ICDAS 3) et active, je peux indiquer un inlay-onlay, car c’est toujours mieux.
D. Lors du traitement d’une carie ayant détruit une cuspide, je peux envisager une restauration avec un onlay.",,,"A,D"
"A PROPOS DU COIFFAGE PULPAIRE,  QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Il peut être réalisé dans le cas d'une inflammation pulpaire réversible et de préférence chez un patient âgé pour mieux contrôler l'hémostase
B. Il peut être réalisé dans le cas d'une inflammation pulpaire irréversible si temps de saignement est inférieur à 2 minutes
C. Il est préférable de réaliser une pulpotomie sur les dents pluri-radiculées si temps de saignement supérieur à 2 minutes
D. Il est préférable de désinfecter la plaie pulpaire avec de la chlorhexidine à 2% plutôt qu'avec de l'hypochlorite à 2%",,,"C,D"
"CONCERNANT LES SUBSTITUTS DENTINAIRES  , QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. peuvent avoir un rôle passif de barrière physique
B. ne sont pas utilisés lors des thérapeutiques de préservation pulpaire
C. permettent une économie tissulaire
D. sont représentés par l’hydroxyde de calcium",,,"A,C"
INDIQUER LES REPONSES CORRECTES :,"A. Les matériaux à base d’hydroxyde de calcium ne sont plus le gold standard en protection pulpaire
B. Les matériaux à base de silicate tricalcique ne peuvent pas être utilisés en protection pulpaire
C. Si la cavité n’est pas à proximité pulpaire, la protection pulpaire est inutile
D. Les matériaux de protection pulpaire doivent être biocompatibles et favoriser la cicatrisation pulpaire",,,"A,C,D"
"AU SUJET DES MATERIAUX UTILISES POUR DES RESTAURATIONS EN METHODE DIRECTE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. seront choisis en fonction de la perte de substance uniquement
B. sont choisis en fonction de critères mécaniques et esthétiques
C. doivent être radio-opaques
D. seront toujours différents s’il s’agit de la restauration d’une dent antérieure ou postérieure",,,"B,C"
"LORS DE LA REALISATION D'UNE RESTAURATION DIRECTE, JE CHOISIS LE MATERIAU :","A. en fonction du risque carieux individuel de mon patient
B. en fonction de son âge
C. en fonction de son sexe
D. en fonction de la position de la cavité par rapport à la gencive (infra, juxta, supra-gingivale)",,,"A,B,D"
"CONCERNANT LES PRINCIPES DE L’ARCHITECTURE CAVITAIRE EN DENTISTERIE RESTAURATRICE PEU INVASIVE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Cavité de forme arrondie
B. Cavité limitée à la taille de la lésion
C. Parois  vestibulaire et linguales de contre–dépouille
D. Extension prophylactique",,,"A,B"
